Carro
idCarro;nomeCarro;marcaCarro
1;Adamo;AC2000
2;Adamo;CRX
3;Adamo;GT
4;Adamo;GT-2
5;Adamo;GTL
6;Adamo;GTM
7;Adamo;GTM C2
8;Agrale;Marruá
9;Aldee;GT 1.8 Street
10;Aldee;Spyder
11;Alfa Romeo;Alfa Romeo 2000
12;Alfa Romeo;2300 03
13;Alfa Romeo;2300 Executivo
14;Alfa Romeo;2300 B
15;Alfa Romeo;2300 Ti
16;Alfa Romeo;2300 Rio
17;Alfa Romeo;2300 SL 
18;Alfa Romeo;2300 Ti 4
19;Alfa Romeo;2300 Álcool Ti
20;Americar;XKCoupe
21;Americar;XK120 
22;Americar;Cobra
23;Americar;GT40
24;Avallone;A 11 Avallone
25;Avallone;TF 6R
26;Avallone;Fusca Cabriolet
27;Avallone;Limosine Monza 
28;Avallone;A 52 
29;Avallone;Avallone Presidencial 
30;Audi;A3
31;Audi;A3 Sedan
32;Audi;Q3 
33;Audi;TT
34;Audi;A1
35;Audi;R8
36;Audi;A4
37;Audi;A5
38;Audi;A6
39;Audi;A7
40;Audi;Q5
41;Audi;Q7
42;Audi;Senna
43;Aurora;122 C 
44;Bianco;Bianco S
45;Bianco;Bianco Série 2
46;Bianco;Bianco Tarpan
47;Bianco;Bianco Tarpan TS
48;BMW;Série 1
49;BMW;Série 3
50;BMW;X1
51;BMW;X3 
52;BMW;X4
53;BMW;Z3
54;BMW;Z4
55;BMW;Série 2
56;BMW;Série 4
57;BMW;Série 5
58;BMW;Série 7
59;BMW;Série 8
60;BMW;X2
61;BMW;X5
62;BMW;X6
63;BMW;M2 Competition
64;BMW;M3 Sedã
65;BMW;M4 Coupé
66;BMW;M5
67;BMW;X6M
68;Bola;Fera XK
69;Brasinca;4200 GT
70;Brasinca;4200 GTS[
71;Cadillac;DeVille
72;Cadillac;Eldorado
73;CBP;Super 90
74;CBP;Spyder 550
75;CBP;911 Carrera
76;CBP;MG MGA
77;CBP;EJ 1
78;CBT;CBT Javali 4x2
79;CBT;CBT Javali 4x4
80;CBT;CBT Javali 4x4 (turbo)
81;Chamonix;Roadster 356
82;Chamonix;Speedster 356 
83;Chamonix;Spyder 550 R 
84;Chamonix;Spyder 550 S
85;Chamonix;Spyder 550 S L.M.
86;Chamonix;Super 90
87;Chery;Arrizzo 5
88;Chery;Celer
89;Chery;QQ
90;Chery;Tiggo 2
91;Chery;Tiggo 7
92;Chery;Face
93;Chery;Cielo
94;Chevrolet;A-10
95;Chevrolet;A-20 
96;Chevrolet;Alvorada
97;Chevrolet;Amazona
98;Chevrolet;Astra
99;Chevrolet;Blazer
100;Chevrolet;Bonanza
101;Chevrolet;C-10
102;Chevrolet;C-14 
103;Chevrolet;C-1416
104;Chevrolet;C-15 
105;Chevrolet;C-20
106;Chevrolet;Camaro
107;Chevrolet;Caravan
108;Chevrolet;Celta
109;Chevrolet;Chevette Hatch
110;Chevrolet;Chevette
111;Chevrolet;Chevette Junior
112;Chevrolet;Chevy 500
113;Chevrolet;Cobalt
114;Chevrolet;Corisco
115;Chevrolet;Corsa
116;Chevrolet;Corsa Sedan
117;Chevrolet;Corsa Sedan Classic
118;Chevrolet;Corsa Pick-up
119;Chevrolet;Corsa Wagon
120;Chevrolet;Cruze
121;Chevrolet;Cruze Sport6
122;Chevrolet;D-10 
123;Chevrolet;D-20
124;Chevrolet;Ipanema
125;Chevrolet;Kadett
126;Chevrolet;Kadett Conversível
127;Chevrolet;Marajó
128;Chevrolet;Meriva 
129;Chevrolet;Montana
130;Chevrolet;Monza Sedan
131;Chevrolet;Monza Hatch
132;Chevrolet;Omega
133;Chevrolet;Onix
134;Chevrolet;Opala Coupe
135;Chevrolet;Opala
136;Chevrolet;Prisma
137;Chevrolet;Silverado
138;Chevrolet;S10
139;Chevrolet;Spin
140;Chevrolet;Suprema
141;Chevrolet;TrailBlazer
142;Chevrolet;Vectra
143;Chevrolet;Vectra
144;Chevrolet;Veraneio
145;Chevrolet;Zafira
146;Chevrolet;Equinox
147;Chrysler/Dodge;1800
148;Chrysler/Dodge;Charger
149;Chrysler/Dodge;Dakota
150;Chrysler/Dodge;Dart Sedã
151;Chrysler/Dodge;Dart Coupe
152;Chrysler/Dodge;LeBaron
153;Chrysler/Dodge;Magnum
154;Chrysler/Dodge;Polara
155;Chrysler/Dodge;Journey
156;Chrysler/Dodge;Durango
157;Chrysler/Dodge;Town & Country
158;Chrysler/Dodge;300
159;Chrysler/Dodge;PT Cruiser
160;Chrysler/Dodge;Caravan
161;Chrysler/Dodge;Grand Caravan
162;Chrysler/Dodge;Stratus
163;Citroën;Aircross
164;Citroën;C3
165;Citroën;C4
166;Citroën;Xsara Picasso
167;Citroën;DS3
168;Citroën;Xantia
169;Citroën;C5 2001
170;Citroën;C4 Pallas
171;Citroën;C4 Lounge
172;Citroën;DS5
173;Citroën;C3 Picasso
174;Citroën;XM
175;Concorde;Concorde
176;Corona;Dardo F 1.3
177;Cross Lander;CL-244
178;Cross Lander;CL-330
179;Daewoo;Espero
180;Daewoo;Nubira
181;Daewoo;Lanos
182;Dankar;Squalo
183;Dankar;Julia
184;DKW-Vemag;Belcar
185;DKW-Vemag;Caiçara 
186;DKW-Vemag;Camioneta
187;DKW-Vemag;Candango
188;DKW-Vemag;F-91 Universal
189;DKW-Vemag;Fissore
190;DKW-Vemag;Grande
