Localidade
idMapa;cidade;uf;regiao
1;Angra Dos Reis;RJ;Região Sudeste
2;Aperibé;RJ;Região Sudeste
3;Araruama;RJ;Região Sudeste
4;Areal;RJ;Região Sudeste
5;Armação Dos Búzios;RJ;Região Sudeste
6;Arraial do Cabo;RJ;Região Sudeste
7;Barra do Piraí;RJ;Região Sudeste
8;Barra Mansa;RJ;Região Sudeste
9;Belford Roxo;RJ;Região Sudeste
10;Bom Jardim;RJ;Região Sudeste
11;Bom Jesus do Itabapoana;RJ;Região Sudeste
12;Cabo Frio;RJ;Região Sudeste
13;Cachoeiras de Macacu;RJ;Região Sudeste
14;Cambuci;RJ;Região Sudeste
15;Carapebus;RJ;Região Sudeste
16;Comendador Levy Gasparian;RJ;Região Sudeste
17;Campos Dos Goytacazes;RJ;Região Sudeste
18;Cantagalo;RJ;Região Sudeste
19;Cardoso Moreira;RJ;Região Sudeste
20;Carmo;RJ;Região Sudeste
21;Casimiro de Abreu;RJ;Região Sudeste
22;Conceição de Macabu;RJ;Região Sudeste
23;Cordeiro;RJ;Região Sudeste
24;Duas Barras;RJ;Região Sudeste
25;Duque de Caxias;RJ;Região Sudeste
26;Engenheiro Paulo de Frontin;RJ;Região Sudeste
27;Guapimirim;RJ;Região Sudeste
28;Iguaba Grande;RJ;Região Sudeste
29;Itaboraí;RJ;Região Sudeste
30;Itaguaí;RJ;Região Sudeste
31;Italva;RJ;Região Sudeste
32;Itaocara;RJ;Região Sudeste
33;Itaperuna;RJ;Região Sudeste
34;Itatiaia;RJ;Região Sudeste
35;Japeri;RJ;Região Sudeste
36;Laje do Muriaé;RJ;Região Sudeste
37;Macaé;RJ;Região Sudeste
38;Macuco;RJ;Região Sudeste
39;Magé;RJ;Região Sudeste
40;Mangaratiba;RJ;Região Sudeste
41;Maricá;RJ;Região Sudeste
42;Mendes;RJ;Região Sudeste
43;Mesquita;RJ;Região Sudeste
44;Miguel Pereira;RJ;Região Sudeste
45;Miracema;RJ;Região Sudeste
46;Natividade;RJ;Região Sudeste
47;Nilópolis;RJ;Região Sudeste
48;Niterói;RJ;Região Sudeste
49;Nova Friburgo;RJ;Região Sudeste
50;Nova Iguaçu;RJ;Região Sudeste
51;Paracambi;RJ;Região Sudeste
52;Paraíba do Sul;RJ;Região Sudeste
53;Parati;RJ;Região Sudeste
54;Paty do Alferes;RJ;Região Sudeste
55;Petrópolis;RJ;Região Sudeste
56;Pinheiral;RJ;Região Sudeste
57;Piraí;RJ;Região Sudeste
58;Porciúncula;RJ;Região Sudeste
59;Porto Real;RJ;Região Sudeste
60;Quatis;RJ;Região Sudeste
61;Queimados;RJ;Região Sudeste
62;Quissamã;RJ;Região Sudeste
63;Resende;RJ;Região Sudeste
64;Rio Bonito;RJ;Região Sudeste
65;Rio Claro;RJ;Região Sudeste
66;Rio Das Flores;RJ;Região Sudeste
67;Rio Das Ostras;RJ;Região Sudeste
68;Rio de Janeiro;RJ;Região Sudeste
69;Santa Maria Madalena;RJ;Região Sudeste
70;Santo Antônio de Pádua;RJ;Região Sudeste
71;São Francisco de Itabapoana;RJ;Região Sudeste
72;São Fidélis;RJ;Região Sudeste
73;São Gonçalo;RJ;Região Sudeste
74;São João da Barra;RJ;Região Sudeste
75;São João de Meriti;RJ;Região Sudeste
76;São José de Ubá;RJ;Região Sudeste
77;São José do Vale do Rio Preto;RJ;Região Sudeste
78;São Pedro da Aldeia;RJ;Região Sudeste
79;São Sebastião do Alto;RJ;Região Sudeste
80;Sapucaia;RJ;Região Sudeste
81;Saquarema;RJ;Região Sudeste
82;Seropédica;RJ;Região Sudeste
83;Silva Jardim;RJ;Região Sudeste
84;Sumidouro;RJ;Região Sudeste
85;Tanguá;RJ;Região Sudeste
86;Teresópolis;RJ;Região Sudeste
87;Trajano de Morais;RJ;Região Sudeste
88;Três Rios;RJ;Região Sudeste
89;Valença;RJ;Região Sudeste
90;Varre-sai;RJ;Região Sudeste
91;Vassouras;RJ;Região Sudeste
92;Volta Redonda;RJ;Região Sudeste
