Comida
idComida;nomePrato
1;Doce de batata doce
2;Churrasco
3;Bala de banana
4;Tapioca
5;Pizza assado no forno à lenha
6;Feijão tropeiro
7;Arroz carreteiro
8;Açaí na tijela
9;Paçoca de amendoim
10;Pato no tucupi
11;Maniçoba
12;Baião de dois
13;Acarajé
14;Pamonha
15;Dobradinha
16;Rapadura
17;Farofa de içá
18;Barreado
19;Pastel de feira
20;Couve refogada com alho
21;Sanduíche de pernil
22;Palmito
23;Umbu em natura
24;Camarão na moranga
25;Doce de abóbora
26;Feijoada
27;Galinhada com pequi
28;Peixe na telha
29;Biscoito de polvilho
30;Galinha à cabidela
31;Pão de mel com doce de leite
32;Peixe assado na folha de bananeira
33;Queijo coalho na brasa
34;Torta de liquidicador
35;Café coado no filtro de pano
36;Caldo de cana
37;Arroz, feijão, bife e batata frita
38;Buchada de bode
39;Bolo de rolo
40;Furrundum
41;Chá mate gelado e pastel
42;Rabada
43;Vaca atolada
44;Pitanga
45;Quibe
46;Pintando na brasa
47;Cuscuz paulista
48;Quebra queixo
49;Pingado de padaria
50;Quindim
51;Cajuzinho
52;Sorvete de milho
53;Sarapatel
54;Bolinho de chuva
55;Caruru
56;Frango com quiabo
57;Leitão à pururuca
58;Canjica doce
59;Pinhão
60;Vinho quente
61;Cachaça artesanal de qualidade
62;Pão de queijo
63;Caldeirada de tucunaré
64;Moqueca
65;Mandioca frita
66;Broa de fubá
67;Jaca em compota
68;Sonho de padaria
69;Sorvete de cupuaçu
70;Requeijão cremoso
71;Pimenta cumari inteira
72;Churrasco grego
73;Queijo de Minas fresco
74;Misto quente
75;Caldo de piranha
76;Doce de leite mineiro
77;Brigadeiro
78;Acerola suco
79;Bobó de camarão
80;Pudim de leite condensado
81;Manjar de coco
82;Refrigerante de guaraná
83;Coxinha
84;Caldo de mocotó
85;Romeu e Julieta
86;Chimarrão
87;Virado à Paulista
88;Jabuticaba no pé
89;Bala de coco de festa de aniversário
90;Bolinho de bacalhau
91;Beirute
92;Caldinho de feijão
93;Melão de Mossoró-RN
94;Milho assado
95;Batata doce assada
96;Caipirinha de cachaça
97;Geléia de mocotó
98;Caju castanha
99;Angú
100;Macarrão com carne moída
101;Macarrão com frango
102;Macarrão com requeijão
103;Lasanha de espinafre
104;Bolo de chocolate
105;Pé de Moleque
106;Broa de milho
