Fruta
idFrutas;nomeFruta
1;Abacate
2;Abacaxi 
3;Abiu
4;Abóbora 
5;Abricó
6;Açaí
7;Acerola
8;Ameixa
9;Amora
10;Ananás 
11;Anonácea
12;Araçá
13;Azeitona 
14;Babaco
15;Bacaba
16;Bacuri
17;Banana
18;Baru
19;Bilimbi
20;Biribá
21;Buriti
22;Butiá
23;Cabeludinha
24;Cacau 
25;Cagaita
26;Cagaita
27;Caimito
28;Cajá
29;Cajá-manga
30;Caju
31;Calabaça 
32;Calabura
33;Cambucá
34;Cambuci
35;Caqui 
36;Carambola 
37;Cereja 
38;Coco 
39;Conde
40;Cupuaçu
41;Damasco 
42;Dovyalis
43;Durião
44;Embaúba
45;Feijoa
46;Figo 
47;Framboesa 
48;Fruta-do-conde
49;Fruta-pão
50;Glicosmis
51;Goiaba 
52;Granadilla
53;Graviola
54;Groselha 
55;Grumixama
56;Guabiju
57;Guabiroba
58;Guaraná
59;Guariroba
60;Heisteria
61;Himbeere
62;Ilama
63;Ingá
64;Jabuticaba
65;Jaca
66;Jambo
67;Jambolão
68;Jamelão
69;Jaracatiá
70;Jatobá
71;Jenipapo
72;Jerivá
73;Jujuba
74;Kiwi
75;Langsat
76;Laranja 
77;Lichia 
78;Limão 
79;Limas Ácida
80;Lima Doce
81;Longan
82;Lucuma
83;Mabolo
84;Maçã 
85;Macadâmia
86;Mamão 
87;Mamey
88;Mamoncillo
89;Maná
90;Manga 
91;Mangaba
92;Mangostão 
93;Maracujá
94;Marmeladinha
95;Marmelo 
96;Marolo
97;Marula
98;Massala
99;Melancia 
100;Melão 
101;Mirtilo 
102;Morango 
103;Murici
104;Naranjilla
105;Nectarina 
106;Nêspera 
107;Noni
108;Noz Pecã
109;Olho-De-Boi
110;Pequi
111;Pêra
112;Pêssego 
113;Physalis
114;Pinha
115;Pinhão 
116;Pistache
117;Pitanga
118;Pitangão
119;Pitaya
120;Pitomba
121;Pulasan
122;Pupunha
123;Quina
124;Rambutão
125;Romã 
126;Salak
127;Santol
128;Sapoti
129;Sapucaia
130;Sapucaia
131;Seriguela
132;Taiúva 
133;Tâmara
134;Tamarindo
135;Tangerina 
136;Tarumã
137;Tomate 
138;Toranja 
139;Umbu
140;Umê
141;Uva 
142;Uvaia
143;Veludo
144;Xixá
145;Yamamomo
146;Zimbro 
147;Zitrone
